frame,time,hi,hi,Total Solar,+x,-x,+y,-y,RF,Clk,Batt Discharge,Batt V,H-Batt V,Batt Charge,Batt Temp,Baseplate Temp,PA Temp,+x F,+z F,5a,5b,5c,5d,6a,6b,6c,6d
34,18:51:48,hi,hi,0.0,-10,210,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,27.72,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,51
35,18:51:51,hi,hi,0.0,-10,150,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,27.72,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,50
36,18:51:54,hi,hi,0.0,-10,30,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,27.72,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,51
37,18:51:56,hi,hi,0.0,-10,-10,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,27.72,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,51
38,18:51:59,hi,hi,0.0,-10,-10,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,27.72,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,51
39,18:52:02,hi,hi,0.0,-10,-10,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,27.72,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,49
40,18:52:05,hi,hi,0.0,-10,-10,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,27.72,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,51
41,18:52:10,hi,hi,0.0,-10,-10,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,27.72,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,50
42,18:52:13,hi,hi,0.0,-10,-10,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,27.72,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,51
43,18:52:16,hi,hi,0.0,-10,-10,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,27.72,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,51
44,18:52:18,hi,hi,0.0,-10,-10,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,27.72,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,49
